 300
   25  3280     1
  100   873     5
    1  8417     1
   28  1748    10
   32  7516     7
   65  4307     1
   43  6018     8
   52  6851     1
   40  2391     2
   13  6829     8
   81  6944    10
    4  8096     8
   66  5847     1
   25  4123     3
   66  1004     6
   47  6942     2
   99   276     8
   93  3797     3
   35  7532     4
   86  1603     5
   78  4487    10
   44  5476     6
   66  2043     8
   76   741     6
   13  3641     7
   12  1435     8
   48  2652     7
  100  2464     1
   96  2263     1
   47  2484     7
   11  1276     9
   21  5543     1
   46  3357     1
   11   953     9
   48  7291     1
   78  2134     8
   76  5261     9
   91  4570     8
   29   246     8
   15  7652     1
    3  2659     5
   10  7190     7
   19  7008     8
   69  8506     6
   34  2574    10
   84  8013     3
   15  6709     7
   33  2850     8
   77  3070     6
   50  5501     1
   19  4453     3
   54  7557     6
   93  2238     7
   85  6497    10
   30  8299     1
    5  5879     3
   96  7932     7
   78  2211     8
    5  8344     3
   92  1455     7
   24  4696     4
   15   880     2
   12  6998     8
   70  8054     5
   26  1834    10
   60  5550     8
   48  1449     2
    2  7095     9
   50  1380     6
   76  1695    10
   16  6007    10
   53  4040     1
   86   146     7
   35  4276     8
   22  3806     6
   20  2720     7
   18  3549     1
   36  1775     3
   52  5570     4
   95  6620     7
   85  7277     4
   71  1284     6
   48  5437     2
   78   775    10
   55  7781     5
   78  4997     2
   82  6655     2
   51  6973     2
   55  7209    10
   86  6259     4
   42  8428     8
   79  3166     4
    1  7140     5
   54  6687     6
   49  2480     8
   27   234     5
   13  3498     4
   96  3929    10
   28  7329     4
   63  4879     9
   72  5625     9
   44  4597     3
   16   179    10
   57  5771     6
   78   133     1
   37  3985     6
   76  8492     2
   96  3683     1
   73  5761     8
   28  5323     6
   90  1563     7
   58  4299     1
   98  6607     1
   38  7001     9
   35  5075    10
   52  5648     6
   15  3259     1
   17  2990     2
    2  3881     7
   70  1729    10
    3   510     5
   44  3570     5
   49  4895     3
    4  7650    10
   97  1518    10
   98  7376     1
   30  7884     4
   10  5016     4
   94  2565    10
   58  6473     7
   73  1155     2
   65  8190     9
    1  2331    10
   88  1334     2
   22  5222     5
   79  2464    10
   25  5320     7
   97  4975     7
   74  6148     1
   98  2341     4
   25  1558     2
   63  7712     8
   56  6640     5
   23  8165     3
    1  5974     6
   91  2975     5
   75  5074     8
   16   493     7
    7  5966     6
   77   216     5
   86  2222     6
   10  6477     1
   20  3786     9
   34  7118     9
   13  5388    10
   17  5304     9
   32  5754     9
   43  4532     4
   26  1581     2
   25  8319     9
    1  2266    10
   98  2736     4
   89  7770     8
    1  4597    10
   86  4071     5
   11  4253     2
   79  7062    10
   11   651     1
    8   489     9
   53  4471    10
    8  2992     5
   32  2047    10
   15  3443     8
   63   893     9
   54  1473     2
   16   677     3
   53  3869     4
   29  6547    10
   31  1171    10
   60  1096     9
    5  6763     4
   16  3394     5
   70  7573     9
   24  1810     3
   50  1772     4
   83  4221     9
   41  7115     1
   81  7527     2
   25    14     2
   66  8696     2
    5  7107     1
   26  2281     2
   64  2693     6
   94  6137     9
   27  6879     1
   50  6764    10
    4  1651    10
    6  5202     1
   60  7415     1
   11  2140     8
   58   933    10
   68  1668     5
   43  4188     8
   73  4377     7
   31  2561     4
   97  5661    10
   88  5055    10
   84  6431     7
   25  3469     9
   18  6226     9
   43  7527     6
   29  1493     3
   34   881     4
   12  6361     5
   53  3304     6
   83  2654     7
   95  1842     3
   93  1679     6
   63  1441     9
   20  1857     5
   58  1636     8
   67  8548    10
   45  4139     6
   22  4329     3
   60  5946     8
   71  2278     7
   71  2353     3
   63  7597     8
   76  7481     8
   31  1029     3
   74   998     6
   33  8415     7
   99  2697     8
   16  5186     3
    5  4052     4
   29  5259     2
   12  2108     2
   93   367     4
   12  2950     8
   36  5578     1
   11  6594     3
   55  1738     4
   65  7072     4
   44  7475     7
   67  8099     9
   17  1636     9
   26  1389     4
   61  1202     2
    9  3316     5
   88  2830     2
   80  3060     6
   67  4952     3
   54  2639     2
   24  7199     2
   89   541     6
   14  8585     9
   95   738     9
   60  2895     8
   76  7443     6
   70  8219     6
   90  3924     1
   50  8441     1
    3  7894     3
   88  6622     9
   65  4888     4
    8  3207     7
   17  3142    10
   77  6997     5
  100  3574     1
   29  6093     8
   12  3836     6
   10  1428     3
   83  7831     1
   77  2168    10
   53   164    10
   49  7190    10
   93  3804     8
   79  1554     3
   10  8393     1
    2  7121     3
   66  4385     5
   89  2713     6
   68  3333     5
   19  7024     6
   13  1172     8
   56  3874     1
   32  6869     4
    7  1911     6
   16  6770     9
    8  5572     9
   77  1390     2
    6  1955     9
   58  5274    10
   80   545     4
   94  8577     7
   22  1423     3
   87  3752     1
   10  2980     7
   99  8420     8
   87  7327     1
