 300
   80 11799     7
    1 13825     5
   51  8436     7
    1 12225     5
   30 13649     6
   46 15869     5
   52  9811     4
   84  7641     2
   24  8509     5
   25 15185     3
   28 14084     5
   88 14223     8
   47 13283     7
   91 10347     5
   23 10227     4
   48  8136     1
   57 12714     5
   17  8924     3
    6 12737     3
   36  7753     5
   16  8805     6
   10 12858    10
   37 10178     6
   34  9681     7
   67 14274     2
   64  8546     3
   94 11102     4
   22 11448     8
   36 12590     6
   37 10429     8
   87  7499     4
   16  8126     3
   38  7991     2
   37  8543    10
   16 12960     7
   67 14249     7
   83  8149     4
   68 15380     1
   51 14498     9
    6  9267     9
   92 14302     3
   79 12320     3
   94 16098     6
   39 11323    10
   69 15275     8
   17 10063    10
   86 12068    10
   26 11727     2
   33 11595     2
   92  8543     3
   61 12088     7
   48 13008     7
    1 14010     2
   98 14875     3
   81 15298     4
   67 12021     3
   62 16029     5
   75 10137     7
   89 16077     1
   97 12357     1
   12 13174     4
   75 16185     4
   12 13091     3
   49 13774     5
   11  8466     4
   28  9789    10
   16 11760     2
   93  9224     8
   95  8907    10
   67  9996    10
   99 11100     6
   86 15817     3
   45 14924     3
   92 10935     1
   25 10878     2
   14 13937    10
    9 13607     1
   10 15555     1
   40  9401     1
   41  8939     2
    2  7835     3
    1 14098     8
   89 14556     8
    2 14453     5
   99 12710    10
   70 13591     2
   69 10212     8
   60 12477     5
   45  7466     8
   58 10026     8
   56  8571     5
   57 13249     1
   32  9949     2
   68 14271     8
    6 10760     6
   43 11024     6
   96  7798     7
   21 15129     7
   36 12856     3
   90  9313     7
   88  8862     7
   34  7693     9
   76  8868     9
   33  7524     9
   26 11237     9
  100 12354    10
   47 14069     9
   34  8581     9
   10 11647     1
   86 16079    10
   75 10129     1
   11 12090     4
   86 13914     7
   64  8422     9
   13 10280     9
   84 10362     6
   34 14622    10
   81 13100     7
   43 15447     1
   78 14697     7
   38 15735     4
   99  7756     5
   34 11683     8
   70  9422     6
   67 14636     2
   39 15052     3
   12 13054     1
   62 15042     9
   60 13918     9
   48  9647     4
   51  8093     5
   47 15389     6
   81  9949     2
   27  9569     4
   80 15521     5
    7 13794     1
   27 14532     3
   26 13327     3
   41 14984    10
   36  9916     4
   11 13143     3
   15  8850    10
   46 14614     8
   97 10795     9
   79  9881     9
   58  8632     7
   80 13765     5
   12  8241     8
   39 14341     3
   23 12950     5
   89 15546     5
   77 13813     7
   22 13314    10
   23 10967     2
   46 15844     2
   88 11687     2
   62  9756     4
   58 12635     3
   50 10467    10
   21  7412     3
    5 14891     7
  100 11168     5
   68 15409     8
   86  8577     8
   27 13346     8
   47 14668     2
   93 14980     9
   53 11615     1
   72 11732     5
   33 13702     8
   88 14140     4
   83  8613     7
   48 15161     8
   34 12491     2
   79 12016     6
   26  8779     7
   92 13732     8
   59  9518     1
   37  9628     4
   31 11810    10
   81 15077     6
   25  8911     9
    7  9361     6
    3 12129     5
   48 12487    10
   53  8943     8
   90  7554     6
    9 14852     4
   11 14186     1
   39 10629     6
   30 14872     7
   16 12815     7
   39 14406    10
   97 14019     4
    2 14001     5
   65 11489     7
   44 12424     6
   94 12718     4
   18 15712     7
   15  7894    10
   26 10158     1
    6 13589     1
   98  9115     7
   73  9056     9
   39  9818     3
   76 13739     2
   98 10443     5
   31 16159     1
   34 15866     2
   34 12680     9
   61 11707    10
   15 14681     7
   59 14199     7
   68 13676     6
   17 10547     2
    6 10424     7
   20 15227     4
    7 10709     8
   15  9013    10
   31 13151     5
   45 13947     4
   44  7622     6
   46  9703     1
   84 12090     3
   40 14250    10
   47  7441     6
   49 16187    10
   83 10411     5
   40 12768     9
   66 15637     7
   98 10913     5
   66 15534    10
   71 12964     8
   95 12637     1
   38  8327     9
   10 15390    10
   71 10114     3
   36 11379     4
   41 15287     1
    4  9718     5
   69  7796     2
    1 10731    10
   18  8136     2
   28 14604     9
   68  8144     6
   35 11292     3
   34  8765     5
   88 15980    10
   41 14609     1
   48 10386     5
   18 12869     4
   86 12293     4
   91 10617     1
   64 15180     5
   69  8121     6
   31  8604     1
   10 15230     1
   18  8045     6
   14 11624     6
   50 11735     9
   84  7420     3
   12 15146    10
   15 11006     9
   55 12992    10
    7 11520     1
   53 11942     8
   64 12120    10
   77 14243     4
   88 15930     1
    5 11144    10
   81  7698     8
   57  7463     3
    5 14483    10
   99  8443     9
   84 14676     1
   73 15236     6
   33 12343     1
   18 16049     6
   61 14954     5
   73 10690     2
   65 10173     1
   79 11560     9
   58 15592     5
   55 13398     1
   42 10477     4
   27  7450     1
   86 14611     2
   52  9444     4
   45  8104     6
   99  9972     7
    2 13788     3
   28  8132     8
   10  8856     7
   16  8532     1
   82 13732     8
   17 12985     8
   69 13083     8
   46  9589     7
   93 10965     1
   56 12750     9
