 300
   15 11545     3
    8 12241     3
   75 10710     3
   46 10716     6
   43 11819     9
   17 12136     2
   59 11043    10
   66 10966     3
   17 11889     2
    6 10620     8
   71 11854     1
   43 11571     3
   41 12456     5
   23 12538     4
   46 11555     5
   25 13365     1
   92 12200     9
    3 13285     1
   56 11309     5
   89 11529     2
   58 12986     4
   42 12722     8
   93 11624     3
    4 10695     1
   59 13069     3
   98 11818    10
   79 10666     6
   76 12113    10
   51 12710     5
   94 12427     6
   39 10564    10
   66 10836     7
    1 11250     9
   14 10839     3
   12 11117     2
   44 12633     7
   30 12540     4
   70 11724     2
    9 13164    10
   47 11010     5
   76 11908    10
   80 11600     1
   89 12146     8
   16 10946     4
    2 10720     4
   34 13265     2
   41 10892     5
   94 12484     2
   36 13132     2
   96 11766     9
   82 10595     4
   94 12700     6
   38 11070     7
   75 11783     6
   98 12959     6
   97 10721    10
   73 13166     5
   76 13190     2
   73 12398     9
   24 12457    10
   69 12199     8
   11 12527     8
   89 12857     7
   70 13013     6
   25 12931     1
    1 10556     9
   13 12228     2
   55 12052     4
   70 11844    10
   22 11974     1
    1 12627     9
   46 13317     9
    2 13139     1
   89 11354     6
   61 10844     2
    4 10440     4
   22 11201     8
    1 11301     7
   97 12488     6
   58 10915     9
   97 12632     5
   79 12648     9
   52 13179     4
   35 13266     2
   54 11013     5
   49 12720    10
   32 10569     1
   26 10760    10
   25 12491     2
    4 12531    10
   49 12781     9
   94 11271     9
   15 11640     7
   38 12220     5
   63 10866     4
   39 11152     8
   38 12340     3
   76 12659     6
   93 12769     1
    8 10766     3
   97 11214     6
   93 11977     9
   53 10665     1
   98 10934     7
   82 12896     5
   13 11074     3
    2 10939     1
    4 10678     2
   14 11939     9
   98 12992     6
   61 11157     1
   11 11153     4
   76 12221     5
   13 10918     5
   46 11000     5
   29 12798     9
   62 13202     5
   77 11133     5
   55 13122     8
   87 12274     6
   80 13229     4
    3 12485     7
   80 13110     4
   95 11450     1
   41 11286     1
   43 10557     7
   33 12167     8
   78 13191     4
   18 12780     2
   26 11517     9
   85 10539     6
   15 10576     8
   19 13059     8
   38 10769     7
   13 11075     5
  100 12536     2
   51 11407     9
   14 11578     5
    3 12779     3
   65 12911     7
   11 11151     1
   64 10518     3
   75 10645    10
   87 12936     6
   77 11000     8
   20 11210     5
   16 12315     5
   38 10783     2
   96 11908    10
   70 12019     3
   24 12622     7
   76 11718     3
   73 11085     9
    3 12313    10
   70 12733     4
   14 11936    10
   45 12435     6
    3 11482     2
   91 11709     3
   63 11797     8
   28 12564     1
   76 11813     9
   77 11937     5
   47 12204     8
   13 12146     5
   90 12576    10
   46 11322    10
   64 13118     3
    3 10735     4
   49 10683     3
   28 12611    10
   14 11450     5
   12 10765     6
    2 12821    10
    1 10968     1
   88 11329     3
   22 10612     5
   16 12848     5
   26 11676     4
   18 12084     4
   86 11448     7
   49 10880    10
   93 13367     7
   59 12098     5
   52 12758     9
   63 12682    10
   72 10616     5
   97 11774     5
   65 10745     2
   63 11890     7
   59 13135     2
   93 12874     3
   38 13267     5
   36 11654     7
   39 11660    10
   51 11995    10
   26 10812     7
   85 12546    10
   14 11695     2
   28 11112    10
   33 12793     2
   41 10887     2
   42 12127     5
   45 13122     7
   43 13272     2
   42 12659     5
   32 11033    10
   64 10466     6
   58 12088     9
   58 12274     3
   82 12115     9
   43 13100     6
    6 12718     3
   74 12063     5
    2 11780     1
   58 12057     1
   37 11327     5
   73 11960     5
   54 13396     6
    1 11637     7
   35 13414     1
   13 13113     8
   94 11092     9
   73 13263     6
   49 11348     5
   32 12316     9
   24 11839     5
   74 11725     1
   16 11444     8
   37 13099     7
    2 12401     1
   48 10819    10
   78 10567     9
   43 11109     5
   93 10522     7
   21 13404    10
   85 13333    10
   24 11120     6
   84 10451     5
   42 12002     9
   81 12958     8
   65 12131     4
   85 11684     4
   87 12257    10
   39 10775     8
   86 13028     4
   44 10896     1
   75 11666     3
   59 11570     8
   98 10873     7
   76 12867     9
   94 11566     9
   11 10567     4
   69 10541     8
   66 11410     4
   59 11480     8
    1 12421     6
   89 12814     9
   32 12769     8
   17 10447     4
   26 12494     6
   34 11751     9
   65 10830     3
    4 12626     4
   76 12425     3
   57 10917     9
   24 12611     3
   61 12339     3
   81 11601     4
    8 12627     8
    2 10922     1
   62 11140     2
   73 11339     1
   86 12171     4
   48 12962     2
   11 11679     9
   72 11781     8
   92 10439     3
   86 12910     2
   30 12915     5
   90 10877     9
   62 12359    10
   23 11062     4
  100 11008     3
   31 12464     7
   89 12037     7
   59 12052    10
   32 11467     3
   78 11432     6
   90 11402     8
   48 11478     6
    4 10507     1
   24 12718     6
   12 11872     8
    7 12697     4
  100 11724     9
   68 12354     7
   30 11890     7
   60 10645     1
   49 10536     1
