 300
   46 13066     4
   35 12234    10
   48 12799    10
   34 11330     3
   26 11712     2
   64 11347     8
   24 12136     1
   78 11067     5
   46 13290     1
   93 12100     2
   40 12481     9
   74 12184     3
   58 11808     3
   95 13586     9
   81 12901     8
   45 10724     8
   14 11634     1
   70 13319    10
   99 13700    10
    6 12606     5
   48 11283     7
    8 11866     7
   93 11857     6
   89 13565     5
   11 13010     4
    8 12769     4
   84 11758     1
   24 11445     5
   36 11811     9
   50 11331     2
    8 13640     4
   81 11100     3
   84 12851     1
   55 12662     4
   15 11717     5
   10 10787     2
   18 13295     2
   39 13140     5
   87 11140     7
   63 12808     2
   31 11463     7
   27 12907     6
   37 11216     4
   89 12558     9
   21 12716     4
   18 13403     2
   34 12569     7
   35 13636     5
   87 12946     1
   32 12492     7
   41 12465     9
   34 13516     8
   39 13645     3
   33 13609     5
   23 13304     3
   50 12878     6
   41 12601     8
    6 11285     4
   73 13610     1
   76 13699     6
   56 11902     5
   80 13473     4
   57 11023     8
   40 10976     6
   34 12358     7
   71 12026     2
   49 11049     7
   52 11877     9
    9 11390     7
   36 11476     4
   15 10909    10
   40 12140     4
   62 13669     9
   52 11411     4
   28 10921     3
   83 12608     3
   69 11038     5
   61 12776     9
   17 12468     7
   56 13270     5
   93 11492     5
   58 11157     6
   89 13009     3
   32 11361     8
   91 10989    10
   12 12536     5
   81 13525     3
   31 12877     7
   18 13108     8
   54 13358     3
    7 12800     3
   73 11233     3
   33 13055     7
   63 13109     1
   13 11496     8
   67 11636     4
   34 11358     3
   62 11831     5
   19 12800     2
   43 12034    10
   97 12593     8
   34 12995     2
   82 13461     3
   58 12486     7
   85 13693     5
   10 13668     5
   40 11318     9
   53 10954     9
   71 12668     3
   57 13072     5
    8 13511     4
   63 13447     8
   14 13516    10
   97 12744     7
   94 11031     5
    5 10728    10
    9 11504     1
   75 10780     8
   35 12892     6
   26 10835     9
   28 13425    10
   42 11915     8
   99 11354     2
   61 12703     7
    5 11247     9
   11 12136    10
   28 13626     1
   38 11892     1
   72 13254     4
   46 12649     3
   80 13213    10
   68 12071     2
   79 11868     4
   62 12897     2
   26 10780     9
   64 11784     9
   71 12789     6
   65 11384     7
   17 12025     7
   41 11680     9
   22 13743     2
   25 11759     1
    4 11351     6
   35 13482     2
   21 10727     7
   98 11669     1
   39 13497     1
   29 11517     8
   72 11735     8
   74 12612     7
   55 11638     7
  100 11383     8
   15 10751     5
   53 12278     8
   61 13372     4
   20 11285     3
   63 13701     8
   88 13221     5
   57 12463     3
   35 13178     1
   34 12093     7
   37 11900     2
    3 11473     3
   13 13247     1
   98 11020     4
   28 11539     1
   76 11255     9
   69 13096    10
   93 12209     8
   93 12566     6
    9 11000     9
   14 12175     9
   17 13612     7
   13 11637     4
   49 11881     1
   37 13625     3
   10 12592     5
   88 11601     2
   66 11366     1
   82 13613     2
   61 13499     8
   20 12290     7
   82 11220     9
   76 13537     2
   73 10792     5
   42 10815     3
   95 11045     5
   36 10717     2
   30 13323     8
   52 12795     8
   70 13181     3
   64 11640     5
   88 10918    10
   72 10878     6
   76 11111     5
   86 11225     3
  100 11703     6
   52 11652     4
   54 13607     3
   92 13199     4
   44 13505    10
   62 10830     1
    5 11598     2
   61 13340     6
   75 11754     4
   53 12765     3
   97 13189     8
   85 13633     9
   41 13652     4
   63 10778     9
   67 13469    10
    1 13375     1
   83 12355     5
   48 10912     9
   77 13135     3
   55 12433    10
   90 11014     2
   72 13467     7
   90 12437     2
   20 13624     9
   23 12486     4
   60 11842     4
   83 11487     3
   11 12691     3
   31 12006    10
   59 11884     8
   96 13202     6
   30 12995     5
   11 12823     1
   49 13033     8
   21 12417     8
   55 12551    10
   11 13150     8
   26 13301    10
   15 12115     5
   85 11128     2
   79 12290     2
   12 11528     3
   70 10984    10
   19 12165     5
   74 11593     1
   36 13739    10
   20 11764     6
   57 13234     6
   83 10875     8
   96 11123     9
   11 11891     5
   73 11176     9
   68 10813     6
    1 13614     7
   92 11023     7
   90 12585     9
   60 11679     1
   75 11796    10
    1 11499     2
   91 12971    10
   33 12967     7
   96 10925     8
   20 12189     4
   43 12013     7
   44 13245     5
   41 10830     2
   98 10787     7
   55 12618     3
   67 13418     2
   12 12189     1
   39 13032     4
   46 11931     4
   23 13003     4
    9 13302     4
   64 13382     9
   97 10819     4
   44 13265     3
   83 11369     4
   53 13339     9
   27 13427     1
   79 11779     2
   64 11454     4
   99 10827     9
   47 11878     7
   64 11291    10
   91 11136     6
   37 13750     6
   24 12257    10
   65 12219     5
   37 11473     8
   14 11451     9
   98 11409     2
   32 11685     6
   34 12927     3
   41 12709     8
   76 11153     1
   75 13044     5
   38 12783     5
   30 13058     3
   42 12685     7
   49 11195     5
   69 12314     7
   87 10839    10
   72 13485     8
